Folio,Fecha,Vendedor,Producto,Cantidad,Precio Unitario (MXN),Descuento %,Total Venta (MXN),Metodo de Pago,Notas
V-001,2026-04-01,Francisco,Vape Desechable 600 puff,2,160,0,320,Efectivo,
V-002,2026-04-01,Francisco,Waka Go 10k - Mango Lychee,1,280,0,280,Efectivo,
V-003,2026-04-02,Francisco,Waka 15k - Cool Mint,1,320,0,320,Efectivo,
V-004,2026-04-02,Francisco,Vape Desechable 2500 puff,3,280,10,756,Efectivo,Cliente frecuente
V-005,2026-04-03,Francisco,Waka 30k - Strawberry Kiwi,2,380,0,760,Efectivo,
V-006,2026-04-03,Francisco,Vape Desechable 5000 puff,1,400,0,400,Efectivo,
V-007,2026-04-04,Francisco,Waka Icon 50k - Fresh Mint,1,450,0,450,Efectivo,
V-008,2026-04-05,Francisco,Bugatti 7k - Tropical Mango,2,200,0,400,Efectivo,
V-009,2026-04-18,Francisco,Cherry Berry 15k,1,320,0,320,Efectivo,
V-010,2026-04-18,Francisco,Piña Colada 10k,1,280,0,280,Efectivo,
V-011,2026-04-18,Francisco,Peach Ice 12k,1,280,0,280,Efectivo,
V-012,2026-04-18,Francisco,Peach Blue Raspberry 5k,1,250,0,250,Efectivo,
V-013,2026-04-18,Francisco,Peach Mango 50k,1,450,0,450,Efectivo,
V-014,2026-04-18,Francisco,Watermelon Wiki 15k,1,320,0,320,Efectivo,
V-015,2026-04-18,Francisco,Passion Fruit 33k,1,380,0,380,Efectivo,
V-016,2026-04-18,Francisco,Wiki Straw Berry 36k,1,380,0,380,Efectivo,
V-017,2026-04-18,Francisco,Peach Mango WT 36k,1,380,0,380,Efectivo,
V-018,2026-04-18,Francisco,Blue Raspberry 10k,1,280,0,280,Efectivo,
V-019,2026-04-18,Francisco,Blue Watermelon 36k,1,380,0,380,Efectivo,
V-020,2026-04-18,Francisco,Cool Mint 15k,1,320,0,320,Efectivo,
V-021,2026-04-18,Francisco,Water Melon Ice 50k,1,450,0,450,Efectivo,
